,investment title,surrounding sentence,ontology attribute,similar pair,cosine
0,Corporate Bonds,in return the company make a legal commitment to pay interest on the principal and in most case to return the principal when the bond come due or mature,expect return,return,0.5
1,Corporate Bonds,in return the company make a legal commitment to pay interest on the principal and in most case to return the principal when the bond come due or mature,expect return,return,0.5
2,Corporate Bonds,like all investment bond carry risk,risk,risk,1.0
3,Corporate Bonds,like all investment bond carry risk,risk,carry risk,0.5
4,Corporate Bonds,one key risk to a bondholder be that the company may fail to make timely payment of interest or principal,risk,risk,1.0
5,Corporate Bonds,one key risk to a bondholder be that the company may fail to make timely payment of interest or principal,risk,key risk,0.5
6,Corporate Bonds,one key risk to a bondholder be that the company may fail to make timely payment of interest or principal,risk,risk to,0.5
7,Corporate Bonds,this default risk make the creditworthiness of the company—that be its ability to pay its debt obligation on time—an important concern to bondholder,risk,risk,1.0
8,Corporate Bonds,this default risk make the creditworthiness of the company—that be its ability to pay its debt obligation on time—an important concern to bondholder,risk,default risk,0.5
9,Corporate Bonds,this default risk make the creditworthiness of the company—that be its ability to pay its debt obligation on time—an important concern to bondholder,risk,risk make,0.5
10,Corporate Bonds,company use the proceed from bond sale for a wide variety of purpose include buy new equipment invest in research and development buy back they own stock pay shareholder dividend refinancing debt and financing merger and acquisition,form financing,financing,0.5
11,Corporate Bonds,longer term bond usually offer higher interest rate but may entail additional risk,risk,risk,1.0
12,Corporate Bonds,longer term bond usually offer higher interest rate but may entail additional risk,risk,additional risk,0.5
13,Corporate Bonds,credit rating agency assign credit rating base on they evaluation of the risk that the company may default on its bond,risk,risk,1.0
14,Corporate Bonds,credit rating agency assign credit rating base on they evaluation of the risk that the company may default on its bond,risk,the risk,0.5
15,Corporate Bonds,credit rating agency assign credit rating base on they evaluation of the risk that the company may default on its bond,risk,risk that,0.5
16,Corporate Bonds,investment grade bond be consider more likely than non-investment grade bond to be pay on time,time,time,1.0
17,Corporate Bonds,investment grade bond be consider more likely than non-investment grade bond to be pay on time,time,on time,0.5
18,Corporate Bonds,non-investment grade bond which be also call high yield or speculative bond generally offer higher interest rate to compensate investor for greater risk,risk,risk,1.0
19,Corporate Bonds,non-investment grade bond which be also call high yield or speculative bond generally offer higher interest rate to compensate investor for greater risk,risk,greater risk,0.5
20,Corporate Bonds,what be high yield corporate bond investor bulletin interest rate risk msrb investor guide 2012,risk,risk,1.0
21,Corporate Bonds,what be high yield corporate bond investor bulletin interest rate risk msrb investor guide 2012,risk,rate risk,0.5
22,Corporate Bonds,what be high yield corporate bond investor bulletin interest rate risk msrb investor guide 2012,risk,risk msrb,0.5
23,Municipal Bonds,by purchase municipal bond you be in effect lend money to the bond issuer in exchange for a promise of regular interest payment usually semi-annually and the return of the original investment or principal,expect return,return,0.5
24,Municipal Bonds,bond investor typically seek a steady stream of income payment and compare to stock investor may be more risk averse and more focus on preserve rather than increase wealth,risk,risk,1.0
25,Municipal Bonds,bond investor typically seek a steady stream of income payment and compare to stock investor may be more risk averse and more focus on preserve rather than increase wealth,risk,more risk,0.5
26,Municipal Bonds,bond investor typically seek a steady stream of income payment and compare to stock investor may be more risk averse and more focus on preserve rather than increase wealth,risk,risk averse,0.5
27,Municipal Bonds,disclosure document go back as early as 1990 include a bond 's official statement which be a disclosure document similar to a prospectus that include important characteristic such as type yield maturity credit quality call feature and risk factor as well as audit financial statement material event notice and other continue disclosure include rating change principal and interest payment delinquency and non-payment related default,risk,risk,1.0
28,Municipal Bonds,disclosure document go back as early as 1990 include a bond 's official statement which be a disclosure document similar to a prospectus that include important characteristic such as type yield maturity credit quality call feature and risk factor as well as audit financial statement material event notice and other continue disclosure include rating change principal and interest payment delinquency and non-payment related default,risk,and risk,0.5
29,Municipal Bonds,disclosure document go back as early as 1990 include a bond 's official statement which be a disclosure document similar to a prospectus that include important characteristic such as type yield maturity credit quality call feature and risk factor as well as audit financial statement material event notice and other continue disclosure include rating change principal and interest payment delinquency and non-payment related default,risk,risk factor,0.5
30,Municipal Bonds,1 historical and real time transaction price data include information relate to a type of municipal bond call a variable rate demand obligation that reset its interest rate periodically,time,time,1.0
31,Municipal Bonds,1 historical and real time transaction price data include information relate to a type of municipal bond call a variable rate demand obligation that reset its interest rate periodically,time,real time,0.5
32,Municipal Bonds,1 historical and real time transaction price data include information relate to a type of municipal bond call a variable rate demand obligation that reset its interest rate periodically,time,time transaction,0.5
33,Municipal Bonds,2 what be some of the risk of invest in municipal bond,risk,risk,1.0
34,Municipal Bonds,2 what be some of the risk of invest in municipal bond,risk,the risk,0.5
35,Municipal Bonds,2 what be some of the risk of invest in municipal bond,risk,risk of,0.5
36,Municipal Bonds,as with any investment invest in municipal bond entail risk,risk,risk,1.0
37,Municipal Bonds,as with any investment invest in municipal bond entail risk,risk,entail risk,0.5
38,Municipal Bonds,investor in municipal bond face a number of risk specifically include,risk,risk,1.0
39,Municipal Bonds,investor in municipal bond face a number of risk specifically include,risk,of risk,0.5
40,Municipal Bonds,investor in municipal bond face a number of risk specifically include,risk,risk specifically,0.5
41,Municipal Bonds,call risk,risk,risk,1.0
42,Municipal Bonds,call risk,risk,call risk,0.5
43,Municipal Bonds,call risk refer to the potential for a issuer to repay a bond before its maturity date something that a issuer may do if interest rate decline much as a homeowner might refinance a mortgage loan to benefit from lower interest rate,risk,risk,1.0
44,Municipal Bonds,call risk refer to the potential for a issuer to repay a bond before its maturity date something that a issuer may do if interest rate decline much as a homeowner might refinance a mortgage loan to benefit from lower interest rate,risk,call risk,0.5
45,Municipal Bonds,call risk refer to the potential for a issuer to repay a bond before its maturity date something that a issuer may do if interest rate decline much as a homeowner might refinance a mortgage loan to benefit from lower interest rate,risk,risk refer,0.5
46,Municipal Bonds,credit risk,risk,risk,1.0
47,Municipal Bonds,credit risk,risk,credit risk,0.5
48,Municipal Bonds,this be the risk that the bond issuer may experience financial problem that make it difficult or impossible to pay interest and principal in full the failure to pay interest or principal be refer to as default,risk,risk,1.0
49,Municipal Bonds,this be the risk that the bond issuer may experience financial problem that make it difficult or impossible to pay interest and principal in full the failure to pay interest or principal be refer to as default,risk,the risk,0.5
50,Municipal Bonds,this be the risk that the bond issuer may experience financial problem that make it difficult or impossible to pay interest and principal in full the failure to pay interest or principal be refer to as default,risk,risk that,0.5
51,Municipal Bonds,credit rating seek to estimate the relative credit risk of a bond as compare with other bond although a high rating do not reflect a prediction that the bond have no chance of defaulting,risk,risk,1.0
52,Municipal Bonds,credit rating seek to estimate the relative credit risk of a bond as compare with other bond although a high rating do not reflect a prediction that the bond have no chance of defaulting,risk,credit risk,0.5
53,Municipal Bonds,credit rating seek to estimate the relative credit risk of a bond as compare with other bond although a high rating do not reflect a prediction that the bond have no chance of defaulting,risk,risk of,0.5
54,Municipal Bonds,interest rate risk,risk,risk,1.0
55,Municipal Bonds,interest rate risk,risk,rate risk,0.5
56,Municipal Bonds,U.S. interest rate have be low for some time,time,time,1.0
57,Municipal Bonds,U.S. interest rate have be low for some time,time,some time,0.5
58,Municipal Bonds,inflation risk,risk,risk,1.0
59,Municipal Bonds,inflation risk,risk,inflation risk,0.5
60,Municipal Bonds,inflation reduce purchase power which be a risk for investor receive a fix rate of interest,risk,risk,1.0
61,Municipal Bonds,inflation reduce purchase power which be a risk for investor receive a fix rate of interest,risk,a risk,0.5
62,Municipal Bonds,inflation reduce purchase power which be a risk for investor receive a fix rate of interest,risk,risk for,0.5
63,Municipal Bonds,liquidity risk,risk,risk,1.0
64,Municipal Bonds,liquidity risk,risk,liquidity risk,0.5
65,Municipal Bonds,this refer to the risk that investor will not find a active market for the municipal bond potentially prevent they from buy or sell when they want and obtain a certain price for the bond,risk,risk,1.0
66,Municipal Bonds,this refer to the risk that investor will not find a active market for the municipal bond potentially prevent they from buy or sell when they want and obtain a certain price for the bond,risk,the risk,0.5
67,Municipal Bonds,this refer to the risk that investor will not find a active market for the municipal bond potentially prevent they from buy or sell when they want and obtain a certain price for the bond,risk,risk that,0.5
68,Municipal Bonds,in addition to the risk what other factor should you consider when invest in municipal bond,risk,risk,1.0
69,Municipal Bonds,in addition to the risk what other factor should you consider when invest in municipal bond,risk,the risk,0.5
70,Municipal Bonds,in addition to the risk what other factor should you consider when invest in municipal bond,risk,risk what,0.5
71,High-yield Corporate Bonds,a high yield corporate bond be a type of corporate bond that offer a higher rate of interest because of its higher risk of default,risk,risk,1.0
72,High-yield Corporate Bonds,a high yield corporate bond be a type of corporate bond that offer a higher rate of interest because of its higher risk of default,risk,higher risk,0.5
73,High-yield Corporate Bonds,a high yield corporate bond be a type of corporate bond that offer a higher rate of interest because of its higher risk of default,risk,risk of,0.5
74,High-yield Corporate Bonds,when company with a greater estimate default risk issue bond they may be unable to obtain a investment grade bond credit rating,risk,risk,1.0
75,High-yield Corporate Bonds,when company with a greater estimate default risk issue bond they may be unable to obtain a investment grade bond credit rating,risk,default risk,0.5
76,High-yield Corporate Bonds,when company with a greater estimate default risk issue bond they may be unable to obtain a investment grade bond credit rating,risk,risk issue,0.5
77,High-yield Corporate Bonds,as a result they typically issue bond with higher interest rate in order to entice investor and compensate they for this higher risk,risk,risk,1.0
78,High-yield Corporate Bonds,as a result they typically issue bond with higher interest rate in order to entice investor and compensate they for this higher risk,risk,higher risk,0.5
79,High-yield Corporate Bonds,what be high yield corporate bond investor bulletin interest rate risk msrb investor guide 2012 bond fund and income fund callable or redeemable bond Financial Industry Regulatory authority finra information on cusip number late payment of interest on bond Municipal security rulemaking board msrb msrb Electronic Municipal market access EMMA the Securities Industry and Financial Markets Association SIFMA,risk,risk,1.0
80,High-yield Corporate Bonds,what be high yield corporate bond investor bulletin interest rate risk msrb investor guide 2012 bond fund and income fund callable or redeemable bond Financial Industry Regulatory authority finra information on cusip number late payment of interest on bond Municipal security rulemaking board msrb msrb Electronic Municipal market access EMMA the Securities Industry and Financial Markets Association SIFMA,risk,rate risk,0.5
81,High-yield Corporate Bonds,what be high yield corporate bond investor bulletin interest rate risk msrb investor guide 2012 bond fund and income fund callable or redeemable bond Financial Industry Regulatory authority finra information on cusip number late payment of interest on bond Municipal security rulemaking board msrb msrb Electronic Municipal market access EMMA the Securities Industry and Financial Markets Association SIFMA,risk,risk msrb,0.5
82,Certificates of Deposit (CDs),a certificate of deposit cd be a savings account that hold a fix amount of money for a fix period of time such as six month one year or five year and in exchange the issue bank pay interest,time,time,1.0
83,Certificates of Deposit (CDs),a certificate of deposit cd be a savings account that hold a fix amount of money for a fix period of time such as six month one year or five year and in exchange the issue bank pay interest,time,of time,0.5
84,Certificates of Deposit (CDs),a certificate of deposit cd be a savings account that hold a fix amount of money for a fix period of time such as six month one year or five year and in exchange the issue bank pay interest,time,time such,0.5
85,Certificates of Deposit (CDs),as with all investment there be benefit and risk associate with cd,risk,risk,1.0
86,Certificates of Deposit (CDs),as with all investment there be benefit and risk associate with cd,risk,and risk,0.5
87,Certificates of Deposit (CDs),as with all investment there be benefit and risk associate with cd,risk,risk associate,0.5
88,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,expect return,return,0.5
89,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,risk,risk,1.0
90,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,risk,risk,1.0
91,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,risk,the risk,0.5
92,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,risk,risk with,0.5
93,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,risk,the risk,0.5
94,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,risk,risk that,0.5
95,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,time,time,1.0
96,Certificates of Deposit (CDs),the risk with cd be the risk that inflation will grow faster than you money and lower you real return over time,time,over time,0.5
97,Savings Bonds,savings bond be a popular birthday and graduation gift and also can be use toward financing education supplemental retirement income and other special event,form financing,financing,0.5
98,Savings Bonds,in paper form these bond be only available in specific denomination,form financing,form,0.5
99,Bonds,borrower issue bond to raise money from investor willing to lend they money for a certain amount of time,time,time,1.0
100,Bonds,borrower issue bond to raise money from investor willing to lend they money for a certain amount of time,time,of time,0.5
101,Bonds,in return the issuer promise to pay you a specify rate of interest during the life of the bond and to repay the principal also know as face value or par value of the bond when it mature or come due after a set period of time,expect return,return,0.5
102,Bonds,in return the issuer promise to pay you a specify rate of interest during the life of the bond and to repay the principal also know as face value or par value of the bond when it mature or come due after a set period of time,time,time,1.0
103,Bonds,in return the issuer promise to pay you a specify rate of interest during the life of the bond and to repay the principal also know as face value or par value of the bond when it mature or come due after a set period of time,time,of time,0.5
104,Bonds,what be the benefit and risk of bond,risk,risk,1.0
105,Bonds,what be the benefit and risk of bond,risk,and risk,0.5
106,Bonds,what be the benefit and risk of bond,risk,risk of,0.5
107,Bonds,provide operate cash flow financing debt funding capital investment in school highway hospital and other project,form financing,financing,0.5
108,Bonds,these bond have a higher credit rating imply less credit risk than high yield corporate bond,risk,risk,1.0
109,Bonds,these bond have a higher credit rating imply less credit risk than high yield corporate bond,risk,credit risk,0.5
110,Bonds,these bond have a higher credit rating imply less credit risk than high yield corporate bond,risk,risk than,0.5
111,Bonds,these bond have a lower credit rating imply higher credit risk than investment grade bond and therefore offer higher interest rate in return for the increase risk,expect return,return,0.5
112,Bonds,these bond have a lower credit rating imply higher credit risk than investment grade bond and therefore offer higher interest rate in return for the increase risk,risk,risk,1.0
113,Bonds,these bond have a lower credit rating imply higher credit risk than investment grade bond and therefore offer higher interest rate in return for the increase risk,risk,risk,1.0
114,Bonds,these bond have a lower credit rating imply higher credit risk than investment grade bond and therefore offer higher interest rate in return for the increase risk,risk,credit risk,0.5
115,Bonds,these bond have a lower credit rating imply higher credit risk than investment grade bond and therefore offer higher interest rate in return for the increase risk,risk,risk than,0.5
116,Bonds,these bond have a lower credit rating imply higher credit risk than investment grade bond and therefore offer higher interest rate in return for the increase risk,risk,increase risk,0.5
117,Bonds,what be the benefit and risk of bond,risk,risk,1.0
118,Bonds,what be the benefit and risk of bond,risk,and risk,0.5
119,Bonds,what be the benefit and risk of bond,risk,risk of,0.5
120,Bonds,bond can provide a means of preserve capital and earning a predictable return,expect return,return,0.5
121,Bonds,as with any investment bond have risk,risk,risk,1.0
122,Bonds,as with any investment bond have risk,risk,have risk,0.5
123,Bonds,these risk include credit risk,risk,risk,1.0
124,Bonds,these risk include credit risk,risk,risk,1.0
125,Bonds,these risk include credit risk,risk,these risk,0.5
126,Bonds,these risk include credit risk,risk,risk include,0.5
127,Bonds,these risk include credit risk,risk,credit risk,0.5
128,Bonds,interest rate risk,risk,risk,1.0
129,Bonds,interest rate risk,risk,rate risk,0.5
130,Bonds,inflation risk,risk,risk,1.0
131,Bonds,inflation risk,risk,inflation risk,0.5
132,Bonds,inflation reduce purchase power which be a risk for investor receive a fix rate of interest,risk,risk,1.0
133,Bonds,inflation reduce purchase power which be a risk for investor receive a fix rate of interest,risk,a risk,0.5
134,Bonds,inflation reduce purchase power which be a risk for investor receive a fix rate of interest,risk,risk for,0.5
135,Bonds,liquidity risk,risk,risk,1.0
136,Bonds,liquidity risk,risk,liquidity risk,0.5
137,Bonds,this refer to the risk that investor will not find a market for the bond potentially prevent they from buy or sell when they want,risk,risk,1.0
138,Bonds,this refer to the risk that investor will not find a market for the bond potentially prevent they from buy or sell when they want,risk,the risk,0.5
139,Bonds,this refer to the risk that investor will not find a market for the bond potentially prevent they from buy or sell when they want,risk,risk that,0.5
140,Bonds,call risk,risk,risk,1.0
141,Bonds,call risk,risk,call risk,0.5
142,Bonds,what be high yield corporate bond investor bulletin interest rate risk msrb investor guide 2012 bond fund and income fund callable or redeemable bond Financial Industry Regulatory authority finra information on cusip number late payment of interest on bond Municipal security rulemaking board msrb msrb Electronic Municipal market access EMMA the Securities Industry and Financial Markets Association SIFMA,risk,risk,1.0
143,Bonds,what be high yield corporate bond investor bulletin interest rate risk msrb investor guide 2012 bond fund and income fund callable or redeemable bond Financial Industry Regulatory authority finra information on cusip number late payment of interest on bond Municipal security rulemaking board msrb msrb Electronic Municipal market access EMMA the Securities Industry and Financial Markets Association SIFMA,risk,rate risk,0.5
144,Bonds,what be high yield corporate bond investor bulletin interest rate risk msrb investor guide 2012 bond fund and income fund callable or redeemable bond Financial Industry Regulatory authority finra information on cusip number late payment of interest on bond Municipal security rulemaking board msrb msrb Electronic Municipal market access EMMA the Securities Industry and Financial Markets Association SIFMA,risk,risk msrb,0.5
145,Variable Annuities,how variable annuity work key risk of you variable annuity contract the death benefit and other insurance feature variable annuity fee and expense exchange one variable annuity for another bonus credit for more information what be a variable annuity,risk,risk,1.0
146,Variable Annuities,how variable annuity work key risk of you variable annuity contract the death benefit and other insurance feature variable annuity fee and expense exchange one variable annuity for another bonus credit for more information what be a variable annuity,risk,key risk,0.5
147,Variable Annuities,how variable annuity work key risk of you variable annuity contract the death benefit and other insurance feature variable annuity fee and expense exchange one variable annuity for another bonus credit for more information what be a variable annuity,risk,risk of,0.5
148,Variable Annuities,you may also transfer you money from one investment option to another within a variable annuity without pay federal tax at the time of the transfer,time,time,1.0
149,Variable Annuities,you may also transfer you money from one investment option to another within a variable annuity without pay federal tax at the time of the transfer,time,the time,0.5
150,Variable Annuities,you may also transfer you money from one investment option to another within a variable annuity without pay federal tax at the time of the transfer,time,time of,0.5
151,Variable Annuities,variable annuity involve investment risk just like mutual fund do,risk,risk,1.0
152,Variable Annuities,variable annuity involve investment risk just like mutual fund do,risk,investment risk,0.5
153,Variable Annuities,variable annuity involve investment risk just like mutual fund do,risk,risk just,0.5
154,Variable Annuities,over the follow year the stock fund have a 10 % return and the bond fund have a 5 % return,expect return,return,0.5
155,Variable Annuities,over the follow year the stock fund have a 10 % return and the bond fund have a 5 % return,expect return,return,0.5
156,Variable Annuities,you should consider a variety of factor with respect to each fund option include the fund 's investment objective and policy management fee and expense that the fund charge the risk and volatility of the fund and whether the fund contribute to the diversification of you overall investment portfolio,risk,risk,1.0
157,Variable Annuities,you should consider a variety of factor with respect to each fund option include the fund 's investment objective and policy management fee and expense that the fund charge the risk and volatility of the fund and whether the fund contribute to the diversification of you overall investment portfolio,risk,the risk,0.5
158,Variable Annuities,you should consider a variety of factor with respect to each fund option include the fund 's investment objective and policy management fee and expense that the fund charge the risk and volatility of the fund and whether the fund contribute to the diversification of you overall investment portfolio,risk,risk and,0.5
159,Variable Annuities,you should consider a variety of factor with respect to each fund option include the fund 's investment objective and policy management fee and expense that the fund charge the risk and volatility of the fund and whether the fund contribute to the diversification of you overall investment portfolio,portfolio diversification,diversification,0.5
160,Variable Annuities,you should consider a variety of factor with respect to each fund option include the fund 's investment objective and policy management fee and expense that the fund charge the risk and volatility of the fund and whether the fund contribute to the diversification of you overall investment portfolio,portfolio diversification,portfolio,0.5
161,Variable Annuities,the amount of each periodic income payment will depend in part on the time period that you select for receive payment,time,time,1.0
162,Variable Annuities,the amount of each periodic income payment will depend in part on the time period that you select for receive payment,time,the time,0.5
163,Variable Annuities,the amount of each periodic income payment will depend in part on the time period that you select for receive payment,time,time period,0.5
164,Variable Annuities,key risk of you variable annuity contract the death benefit and other optional insurance feature,risk,risk,1.0
165,Variable Annuities,key risk of you variable annuity contract the death benefit and other optional insurance feature,risk,key risk,0.5
166,Variable Annuities,key risk of you variable annuity contract the death benefit and other optional insurance feature,risk,risk of,0.5
167,Variable Annuities,in addition these optional feature be complex and may carry certain risk and limitation,risk,risk,1.0
168,Variable Annuities,in addition these optional feature be complex and may carry certain risk and limitation,risk,certain risk,0.5
169,Variable Annuities,in addition these optional feature be complex and may carry certain risk and limitation,risk,risk and,0.5
170,Variable Annuities,this can limit the return on you investment,expect return,return,0.5
171,Variable Annuities,these fee and expense will reduce the value of you account and the return on you investment,expect return,return,0.5
172,Variable Annuities,consider how long you expect to own the variable annuity and you need to access fund when you think of any tradeoff between the length of the surrender charge period and the level of ongoing fee,expect return,expect,0.5
173,Variable Annuities,while the feature may appear similar you should consider the fee insurance feature fee as well any new surrender charge period investment restriction and benefit and risk of the new variable annuity as compare to you current variable annuity,risk,risk,1.0
174,Variable Annuities,while the feature may appear similar you should consider the fee insurance feature fee as well any new surrender charge period investment restriction and benefit and risk of the new variable annuity as compare to you current variable annuity,risk,and risk,0.5
175,Variable Annuities,while the feature may appear similar you should consider the fee insurance feature fee as well any new surrender charge period investment restriction and benefit and risk of the new variable annuity as compare to you current variable annuity,risk,risk of,0.5
176,Variable Annuities,this may depend on a variety of factor such as the amount of the bonus credit and the increase fee and expense how long you hold you annuity contract and the return on the underlying investment,expect return,return,0.5
177,Variable Annuities,let us assume that both annuity have a annual rate of return prior to expense of 10 %,expect return,return,0.5
178,Variable Annuities,Mutual fund and etf a Guide for investor Investor Bulletin performance Claims update Investor bulletin how fee and expense affect you investment portfolio investor bulletin how to check out you Financial professional other resource that may be helpful FINRA FINRA be a independent self regulatory organization charge with regulate the security industry include seller of variable annuity,regulatory environment,regulatory,0.5
179,Variable Annuities,Mutual fund and etf a Guide for investor Investor Bulletin performance Claims update Investor bulletin how fee and expense affect you investment portfolio investor bulletin how to check out you Financial professional other resource that may be helpful FINRA FINRA be a independent self regulatory organization charge with regulate the security industry include seller of variable annuity,portfolio diversification,portfolio,0.5
180,Annuities,similarly you payout may come either as one lump sum payment or as a series of payment over time,time,time,1.0
